id,device_type,search_name,brand,model,release_date,eco_rating,durability,repairability,recyclability,climate_efficiency,resource_efficiency,ram_human,storage_human,ram,storage,model_number_info,label_version
4308,Smartphone,Huawei P40 Lite JNY-LX1,Huawei,P40 Lite,2019-12,79,50,60,65,67,82,6 GB,128 GB,6,128,JNY-LX1,1
4309,Smartphone,Huawei P40 Lite e ART-L29,Huawei,P40 Lite e,2019-10,79,44,60,65,69,80,6 GB,128 GB,6,128,ART-L29,1
4310,Smartphone,Huawei P40 ANA-LX4,Huawei,P40,2020-04,69,50,62,65,39,79,8 GB,256 GB,8,256,ANA-LX4,1
4311,Smartphone,Huawei P30 Lite New edition MAR-LX1B,Huawei,P30 Lite New edition,2019-03,79,44,55,65,49,91,6 GB,256 GB,6,256,MAR-LX1B,1
4312,Smartphone,Huawei P40 Pro ELS-N04 / ELS-NX9,Huawei,P40 Pro,2020-04,65,57,59,65,33,77,8 GB,256 GB,8,256,ELS-N04 / ELS-NX9,1
4313,Smartphone,Huawei P Smart 2021 PPA-LX3,Huawei,P Smart 2021,2020-12,70,44,55,65,45,79,4 GB,128 GB,4,128,PPA-LX3,1
4314,Smartphone,Huawei Mate40 Pro NOH-NX9,Huawei,Mate40 Pro,2020-10,61,57,62,65,28,72,8 GB,256 GB,8,256,NOH-NX9,1
4315,Smartphone,Huawei nova 9 SE NAM-LX9,Huawei,nova 9 SE,2021-10,71,44,55,65,46,80,8 GB,128 GB,8,128,NAM-LX9,1
4316,Smartphone,Huawei Nova Y70 MGA-LX3,Huawei,Nova Y70,2022-04,72,44,55,65,51,78,4 GB,128 GB,4,128,MGA-LX3,1
4317,Smartphone,MobiWire Sora NFC GH5021,MobiWire,Sora NFC,2019-09,78,49,71,52,59,85,1 GB,8 GB,1,8,GH5021,1
4318,Smartphone,MobiWire Sora VDF GH5024,MobiWire,Sora VDF,2020-06,81,49,71,52,66,85,1 GB,16 GB,1,16,GH5024,1
4319,Smartphone,Orange NEVA LEAF GH5931,Orange,NEVA LEAF,2021-08,55,62,86,76,76,32,3 GB,32 GB,3,32,GH5931,1
4320,Smartphone,Motorola Moto g8 Power XT2041-3,Motorola,Moto g8 Power,2020-03,65,49,57,77,55,63,4 GB,64 GB,4,64,XT2041-3,1
4321,Smartphone,Motorola Edge XT2063-3,Motorola,Edge,2020-05,62,49,57,77,54,59,6 GB,128 GB,6,128,XT2063-3,1
4322,Smartphone,Motorola Moto e6s XT2053-1,Motorola,Moto e6s,2020-03,54,55,57,77,65,37,2 GB,32 GB,2,32,XT2053-1,1
4323,Smartphone,Motorola Moto e7 XT2095-2,Motorola,Moto e7,2020-11,70,55,49,80,61,68,2 GB,32 GB,2,32,XT2095-2,1
4324,Smartphone,Motorola Moto g50 XT2137-1,Motorola,Moto g50,2021-05,66,49,49,80,61,62,4 GB,64 GB,4,64,XT2137-1,1
4325,Smartphone,Motorola Moto g31 XT2173 series,Motorola,Moto g31,2021-11,80,55,67,67,64,85,4 GB,128 GB,4,128,XT2173 series,1
4326,Smartphone,Motorola Moto g41 XT2167 series,Motorola,Moto g41,2021-07,78,55,64,67,60,84,4 GB,128 GB,4,128,XT2167 series,1
4327,Smartphone,Motorola Moto g51 5G XT2171-1,Motorola,Moto g51 5G,2021-11,77,53,63,70,55,85,4 GB,128 GB,4,128,XT2171-1,1
4328,Smartphone,Motorola Moto g71 5G XT2169-1,Motorola,Moto g71 5G,2021-12,76,58,64,71,59,80,6 GB,128 GB,6,128,XT2169-1,1
4329,Smartphone,Motorola Moto g200 5G XT2175-1,Motorola,Moto g200 5G,2021-12,72,43,56,66,52,77,8 GB,128 GB,8,128,XT2175-1,1
4330,Smartphone,Motorola Moto g71 5G XT2169-1,Motorola,Moto g71 5G,2021-12,76,58,64,71,59,80,6 GB,128 GB,6,128,XT2169-1,1
4331,Smartphone,Motorola Edge 30 Pro XT2201-1,Motorola,Edge 30 Pro,2022-02,73,43,60,71,52,80,12 GB,256 GB,12,256,XT2201-1,1
4332,Smartphone,Motorola Edge 30 XT2203-1,Motorola,Edge 30,2022-04,76,43,60,71,50,86,6 GB,128 GB,6,128,XT2203-1,1
4333,Smartphone,Motorola Moto e32 XT2227-2,Motorola,Moto e32,2022-04,80,54,64,77,64,86,4 GB,64 GB,4,64,XT2227-2,1
4334,Smartphone,Motorola Moto g82 5G XT2225-1,Motorola,Moto g82 5G,2022-07,77,43,64,74,59,82,6 GB,128 GB,6,128,XT2225-1,1
4335,Smartphone,Motorola Moto g32 XT2235-2,Motorola,Moto g32,2022-07,76,43,67,80,55,83,4 GB,128 GB,4,128,XT2235-2,1
4336,Smartphone,NUBIA REDMAGIC 7 NX679J,NUBIA,REDMAGIC 7,2022-05,66,50,64,56,41,73,16 GB,256 GB,16,256,NX679J,1
4337,Smartphone,OnePlus 8 Pro ,OnePlus,8 Pro,2020-04,71,62,50,59,33,86,8 GB,128 GB,8,128,,1
4338,Smartphone,OnePlus Nord 5G AC2003,OnePlus,Nord 5G,2020-07,72,52,50,57,34,88,12 GB,256 GB,12,256,AC2003,1
4339,Smartphone,OnePlus Nord CE 5G EB2103,OnePlus,Nord CE 5G,2021-06,79,52,53,56,50,91,8 GB,128 GB,8,128,EB2103,1
4340,Smartphone,OnePlus Nord 2 5G DN2103,OnePlus,Nord 2 5G,2021-07,72,52,53,60,39,85,8 GB,128 GB,8,128,DN2103,1
4341,Smartphone,OnePlus 9 LE2113,OnePlus,9,2021-03,66,52,56,64,28,82,8 GB,128 GB,8,128,LE2113,1
4342,Smartphone,OnePlus 9 Pro LE2123,OnePlus,9 Pro,2021-03,69,62,56,67,29,85,12 GB,256 GB,12,256,LE2123,1
4343,Smartphone,OnePlus 10 Pro NE2213,OnePlus,10 Pro,2022-04,68,57,63,68,23,87,8 GB,128 GB,8,128,NE2213,1
4344,Smartphone,OnePlus Nord CE 2 IV2201,OnePlus,Nord CE 2,2022-03,80,58,66,64,54,91,8 GB,128 GB,8,128,IV2201,1
4345,Smartphone,OnePlus Nord 2T 5G CPH2399,OnePlus,Nord 2T 5G,2022-05,75,63,74,66,43,89,12 GB,128 GB,12,128,CPH2399,1
